,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
United Nations,,,,,,,,,,,,,,,,,
Population Division,,,,,,,,,,,,,,,,,
Department of Economic and Social Affairs,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
World Population Prospects: The 2017 Revision,,,,,,,,,,,,,,,,,
"File FERT/3: Crude birth rate by region, subregion and country, 1950-2100 (births per 1,000 population)",,,,,,,,,,,,,,,,,
"Estimates, 1950 - 2015",,,,,,,,,,,,,,,,,
POP/DB/WPP/Rev.2017/FERT/F03,,,,,,,,,,,,,,,,,
June 2017 - Copyright © 2017 by United Nations. All rights reserved,,,,,,,,,,,,,,,,,
"Suggested citation: United Nations, Department of Economic and Social Affairs, Population Division (2017). World Population Prospects: The 2017 Revision, DVD Edition.",,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,"Crude birth rate (births per 1,000 population)",,,,,,,,,,,,
Index,Variant,"Region, subregion, country or area *",Notes,Country code,1950-1955,1955-1960,1960-1965,1965-1970,1970-1975,1975-1980,1980-1985,1985-1990,1990-1995,1995-2000,2000-2005,2005-2010,2010-2015
32,Estimates,United Republic of Tanzania,2,834,49.0,49.3,49.1,48.7,47.9,47.4,46.0,44.9,43.3,42.1,42.2,42.1,39.8
33,Estimates,Zambia,,894,48.2,49.3,50.3,49.5,49.5,48.4,46.7,45.6,45.0,45.1,44.2,41.6,39.3
34,Estimates,Zimbabwe,,716,48.3,48.1,48.2,47.4,47.5,47.5,44.8,39.6,35.8,33.7,33.9,35.6,35.6
35,Estimates,Middle Africa,,911,47.0,46.8,47.0,47.0,47.2,47.4,47.3,47.1,46.4,45.8,45.3,44.4,42.5
36,Estimates,Angola,,24,58.5,55.8,54.5,53.2,53.9,54.7,53.5,53.4,51.9,49.7,48.4,46.8,43.7
37,Estimates,Cameroon,,120,42.3,42.2,43.6,44.6,45.1,45.5,46.3,45.6,43.6,41.7,41.0,40.2,38.2
38,Estimates,Central African Republic,,140,41.7,43.3,43.8,43.5,42.7,42.2,42.4,41.9,40.6,40.2,39.8,38.6,37.3
39,Estimates,Chad,,148,46.4,46.1,45.6,45.9,48.1,49.4,50.0,50.6,51.3,51.2,50.2,48.1,45.2
40,Estimates,Congo,,178,42.1,42.1,42.6,43.0,43.4,43.0,40.9,38.9,38.1,39.0,39.4,38.8,36.8
41,Estimates,Democratic Republic of the Congo,,180,46.1,46.4,46.8,46.8,46.4,46.3,46.3,46.1,46.1,46.0,45.8,45.4,44.0
42,Estimates,Equatorial Guinea,,226,42.7,41.9,41.3,41.8,42.5,43.4,43.6,42.8,41.6,41.4,40.4,38.7,36.0
43,Estimates,Gabon,,266,30.4,31.6,34.3,36.7,37.2,37.8,38.3,37.7,36.3,34.4,32.6,32.1,31.3
44,Estimates,Sao Tome and Principe,,678,47.7,47.6,46.9,42.4,40.4,40.9,40.6,40.3,40.0,40.1,39.4,37.6,35.6
45,Estimates,Northern Africa,,912,50.2,49.1,47.3,45.1,42.7,41.1,39.1,35.7,30.6,26.4,25.2,25.5,27.1
46,Estimates,Algeria,,12,50.2,49.7,49.5,47.5,46.6,45.0,40.8,35.2,28.8,21.6,19.2,23.1,25.3
47,Estimates,Egypt,,818,51.4,48.9,45.6,43.4,40.7,39.3,38.8,36.7,30.1,25.8,25.4,25.2,28.5
48,Estimates,Libya,,434,51.0,50.9,50.1,51.6,49.3,43.7,37.0,32.4,26.5,22.8,21.2,21.2,21.3
49,Estimates,Morocco,,504,51.3,51.5,49.7,45.1,40.9,38.7,36.7,31.4,27.4,23.2,21.8,21.1,21.3
50,Estimates,Sudan,,729,46.9,46.6,46.9,47.2,47.0,46.2,44.2,42.1,41.6,40.2,38.7,36.6,34.4
