year,age,age_cat,pop,abbrev,division,pop_std,opioid_deaths,mx,y
1999,20,20-24,121695,WV,South Atlantic,18257225,3,2.4651793417971156e-5,-10.610660904829166
1999,20,20-24,123045,NV,Mountain,18257225,6,4.876264781177618e-5,-9.928545951876904
1999,20,20-24,179622,AR,West South Central,18257225,2,1.1134493547560989e-5,-11.405462741220532
1999,20,20-24,185894,CT,New England,18257225,12,6.45529172539189e-5,-9.648025247983782
1999,20,20-24,185908,KS,West North Central,18257225,1,5.379004668976053e-6,-12.133007206672792
1999,20,20-24,217614,UT,Mountain,18257225,4,1.8381170329114856e-5,-10.904183769009713
1999,20,20-24,225328,OR,Pacific,18257225,2,8.875949726620749e-6,-11.632165216877887
1999,20,20-24,244428,OK,West South Central,18257225,3,1.2273552948107418e-5,-11.30806377733403
1999,20,20-24,278087,SC,South Atlantic,18257225,5,1.797998468105305e-5,-10.926251380920437
1999,20,20-24,280619,KY,East South Central,18257225,4,1.4254202317020587e-5,-11.158458795283867
1999,20,20-24,294419,CO,Mountain,18257225,8,2.7172159405473152e-5,-10.51331766011801
1999,20,20-24,307768,MD,South Atlantic,18257225,22,7.148241532582984e-5,-9.546059078011274
1999,20,20-24,313553,MN,West North Central,18257225,6,1.913552094861156e-5,-10.863964214549357
1999,20,20-24,321955,LA,West South Central,18257225,1,3.10602413380752e-6,-12.682167063207592
1999,20,20-24,350798,WI,East North Central,18257225,5,1.4253216951065855e-5,-11.158527925775536
1999,20,20-24,350911,AZ,Mountain,18257225,9,2.564752886059428e-5,-10.571063331706133
1999,20,20-24,362424,MO,West North Central,18257225,6,1.6555195020197338e-5,-11.008810606895679
1999,20,20-24,380775,WA,Pacific,18257225,18,4.727201103013591e-5,-9.95959217058754
1999,20,20-24,381011,TN,East South Central,18257225,10,2.6245961402689162e-5,-10.547998432089098
1999,20,20-24,396060,MA,New England,18257225,26,6.564661919911124e-5,-9.63122445588939
1999,20,20-24,420595,IN,East North Central,18257225,4,9.510336547034558e-6,-11.563131293280822
1999,20,20-24,470223,VA,South Atlantic,18257225,13,2.76464571065218e-5,-10.49601297178542
1999,20,20-24,477874,NJ,Middle Atlantic,18257225,19,3.975943449528537e-5,-10.132663399232648
1999,20,20-24,565355,NC,South Atlantic,18257225,11,1.9456801478716912e-5,-10.847313858604801
1999,20,20-24,574511,GA,South Atlantic,18257225,7,1.218427497471763e-5,-11.315364374116752
1999,20,20-24,638082,MI,East North Central,18257225,9,1.41047702332929e-5,-11.168997503377634
1999,20,20-24,724016,OH,East North Central,18257225,5,6.905924730945173e-6,-11.883130858137077
1999,20,20-24,740343,PA,Middle Atlantic,18257225,34,4.5924659245782024e-5,-9.9885083466885
1999,20,20-24,833765,IL,East North Central,18257225,43,5.157328503835014e-5,-9.872506751361069
1999,20,20-24,907463,FL,South Atlantic,18257225,33,3.6365119018626655e-5,-10.221900511473626
1999,20,20-24,1230168,NY,Middle Atlantic,18257225,16,1.3006353603735425e-5,-11.250072581147741
1999,20,20-24,1498912,TX,West South Central,18257225,34,2.2683119489336265e-5,-10.69388954494145
1999,20,20-24,2303169,CA,Pacific,18257225,55,2.388014079731014e-5,-10.64246337342249
1999,25,25-29,29627,WY,Mountain,17722067,1,3.375299557835758e-5,-10.29644138670722
1999,25,25-29,36188,VT,New England,17722067,1,2.7633469658450315e-5,-10.496482851145633
1999,25,25-29,41687,AK,Pacific,17722067,1,2.398829371266822e-5,-10.637944608583052
1999,25,25-29,44989,SD,West North Central,17722067,1,2.2227655649158682e-5,-10.7141732944266
1999,25,25-29,50508,MT,Mountain,17722067,3,5.9396531242575434e-5,-9.731274729890462
1999,25,25-29,53292,DE,South Atlantic,17722067,1,1.876454252045335e-5,-10.883541505080103
1999,25,25-29,57039,DC,South Atlantic,17722067,2,3.506372832623293e-5,-10.258343342817751
1999,25,25-29,69058,RI,New England,17722067,3,4.3441744620463955e-5,-10.04408972153216
1999,25,25-29,73574,ME,New England,17722067,1,1.3591757957974285e-5,-11.206046981436083
1999,25,25-29,73597,NH,New England,17722067,3,4.076253108142995e-5,-10.107747254348546
1999,25,25-29,82840,ID,Mountain,17722067,1,1.2071463061323032e-5,-11.324666315509521
1999,25,25-29,83523,HI,Pacific,17722067,3,3.591825006285694e-5,-10.234265033343494
1999,25,25-29,111807,NE,West North Central,17722067,1,8.943983829277237e-6,-11.624529449549897
1999,25,25-29,114570,NM,Mountain,17722067,19,1.658374792703151e-4,-8.704502289721232
1999,25,25-29,115558,WV,South Atlantic,17722067,3,2.596098928676509e-5,-10.55891555873564
1999,25,25-29,144007,NV,Mountain,17722067,11,7.638517572062469e-5,-9.479721915689396
1999,25,25-29,173293,UT,Mountain,17722067,11,6.34763089103426e-5,-9.664843809706381
1999,25,25-29,176338,AR,West South Central,17722067,1,5.6709274234708345e-6,-12.08015788685049
1999,25,25-29,196174,MS,East South Central,17722067,2,1.0195030941918908e-5,-11.49361011893325
1999,25,25-29,207932,CT,New England,17722067,14,6.732970394167324e-5,-9.605909052540275
